ITEM,CAL,FAT,SFAT,TFAT,CHOL,SALT,CARB,FBR,SGR,PRO,CATEGORY
McCafé White Chocolate Mocha (Small) 12 fl oz cup,320,11,6,0,35,160,47,1,43,11,MCCAFE
Nonfat Latte (Medium) 16 fl oz cup,130,0,0,0,5,135,19,1,16,12,MCCAFE
Nonfat French Vanilla Latte (Small) 12 fl oz cup,190,0,0,0,5,115,39,1,37,10,MCCAFE
Nonfat French Vanilla Latte (Medium) 16 fl oz cup,240,0,0,0,5,140,49,1,46,12,MCCAFE
Nonfat Latte (Large) 20 fl oz cup,170,0.5,0,0,10,180,25,1,21,16,MCCAFE
Nonfat Caramel Latte (Small) 12 fl oz cup,200,0,0,0,5,110,41,1,39,10,MCCAFE
Nonfat French Vanilla Latte (Large) 20 fl oz cup,300,0.5,0,0,10,180,60,1,56,16,MCCAFE
Nonfat Caramel Latte (Medium) 16 fl oz cup,250,0,0,0,5,135,51,1,48,12,MCCAFE
Nonfat Caramel Latte (Large) 20 fl oz cup,310,0.5,0,0,10,180,63,1,59,16,MCCAFE
Nonfat Hazelnut Latte (Small) 12 fl oz cup,200,0,0,0,5,110,40,1,38,10,MCCAFE
Nonfat Hazelnut Latte (Medium) 16 fl oz cup,250,0,0,0,5,135,51,1,48,12,MCCAFE
Nonfat Hazelnut Latte (Large) 20 fl oz cup,310,0.5,0,0,10,180,63,1,59,16,MCCAFE
Nonfat Latte with Sugar Free French Vanilla Syrup (Small) 12 fl oz cup,140,0,0,0,5,150,24,1,13,10,MCCAFE
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium) 16 fl oz cup,170,0,0,0,5,180,30,1,16,12,MCCAFE
Nonfat Latte with Sugar Free French Vanilla Syrup (Large) 20 fl oz cup,220,0.5,0,0,10,240,38,2,21,16,MCCAFE
McCafé Caramel Mocha (Medium) 16 fl oz cup,390,14,8,0.5,40,220,55,1,50,12,MCCAFE
McCafé Caramel Mocha (Large) 20 fl oz cup,480,17,10,0.5,50,270,66,1,60,16,MCCAFE
Hot Chocolate (Small) 12 fl oz cup,360,13,8,0,40,180,50,1,45,11,MCCAFE
Hot Chocolate (Medium) 16 fl oz cup,440,16,9,0.5,50,220,61,1,56,14,MCCAFE
Hot Chocolate (Large) 20 fl oz cup,540,20,12,0.5,60,280,73,1,68,17,MCCAFE
Hot Chocolate with Nonfat Milk (Small) 12 fl oz cup,280,3.5,2,0,15,180,50,1,46,12,MCCAFE
Hot Chocolate with Nonfat Milk (Medium) 16 fl oz cup,340,3.5,2,0,15,220,61,1,57,14,MCCAFE
Blueberry Pomegranate Smoothie (Large) 22 fl oz cup,340,1,0.5,0,5,65,79,5,70,4,MCCAFE
Blueberry Pomegranate Smoothie (Medium) 16 fl oz cup,260,1,0,0,5,50,62,4,54,3,MCCAFE
Coffee (Medium) 16 fl oz cup,0,0,0,0,0,0,0,0,0,0,MCCAFE
Frappe Chocolate Chip (Large) 22 fl oz cup,750,31,20,1.5,95,200,110,1,99,12,MCCAFE
Frappe Chocolate Chip (Medium) 16 fl oz cup,620,26,17,1,80,160,90,1,81,9,MCCAFE
Hot Chocolate with Nonfat Milk (Large) 20 fl oz cup,400,3.5,2.5,0,20,280,74,1,69,19,MCCAFE
Mango Pineapple Smoothie (Large) 22 fl oz cup,340,1,0.5,0,5,60,78,2,72,4,MCCAFE
Mango Pineapple Smoothie (Medium) 16 fl oz cup,260,1,0,0,5,45,61,1,56,3,MCCAFE
Iced Mocha (Medium) 16 fl oz cup,340,12,7,0,40,150,49,1,43,9,MCCAFE
Iced Mocha with Nonfat Milk (Medium) 16 fl oz cup,280,5,3,0,20,150,50,1,43,10,MCCAFE
Iced Caramel Mocha (Small) 12 fl oz cup,270,11,6,0,35,140,37,0,32,8,MCCAFE
Iced Caramel Mocha (Medium) 16 fl oz cup,330,12,7,0,40,170,46,1,41,9,MCCAFE
Iced Caramel Mocha (Large) 22 fl oz cup,450,16,9,0.5,50,250,64,1,58,13,MCCAFE
Iced Nonfat Caramel Mocha (Small) 12 fl oz cup,220,4.5,3,0,20,140,38,0,33,8,MCCAFE
Iced Nonfat Caramel Mocha (Medium) 16 fl oz cup,270,4.5,3,0,20,170,46,1,41,10,MCCAFE
Iced Nonfat Caramel Mocha (Large) 22 fl oz cup,360,5,3,0,20,250,65,1,59,14,MCCAFE
Frappe Mocha (Medium) 16 fl oz cup,540,22,14,1,75,160,79,1,71,9,MCCAFE
Frappe Mocha (Large) 22 fl oz cup,670,26,17,1,90,190,97,1,88,11,MCCAFE
Frappe Caramel (Medium) 16 fl oz cup,550,22,14,1,80,160,78,0,71,9,MCCAFE
Strawberry Banana Smoothie (Medium) 16 fl oz cup,250,1,0,0,5,60,58,3,54,4,MCCAFE
Strawberry Banana Smoothie (Large) 22 fl oz cup,330,1,0.5,0,5,80,74,4,70,5,MCCAFE
Iced Coffee with Sugar Free French Vanilla Syrup (Large) 32 fl oz cup,160,9,6,0,35,135,18,0,2,2,MCCAFE
Iced Coffee with Sugar Free French Vanilla Syrup (Medium) 22 fl oz cup,120,7,4.5,0,25,90,12,0,2,1,MCCAFE
Iced Coffee with Sugar Free French Vanilla Syrup (Small) 16 fl oz cup,80,4.5,3,0,15,65,9,0,1,1,MCCAFE
Iced Coffee Caramel (Large) 32 fl oz cup,260,9,6,0,35,65,43,0,42,2,MCCAFE
Iced Coffee Caramel (Medium) 22 fl oz cup,180,7,4.5,0,25,50,29,0,28,1,MCCAFE
Iced Coffee Caramel (Small) (16 fl oz cup),130,4.5,3,0,15,35,22,0,21,1,MCCAFE
Iced Coffee French Vanilla (Large) 32 fl oz cup,240,9,6,0,35,80,41,0,39,2,MCCAFE
Iced Coffee French Vanilla (Medium) 22 fl oz cup,170,7,4.5,0,25,55,27,0,26,1,MCCAFE
Iced Coffee French Vanilla (Small) 16 fl oz cup,120,4.5,3,0,15,40,20,0,19,1,MCCAFE
Iced Coffee Hazelnut (Large) (32 fl oz cup),250,9,6,0,35,75,43,0,41,2,MCCAFE
Iced Coffee Hazelnut (Medium) 22 fl oz cup,180,7,4.5,0,25,50,29,0,28,1,MCCAFE
Iced Coffee Hazelnut (Small) (16 fl oz cup),130,4.5,3,0,15,35,21,0,20,1,MCCAFE
Iced Coffee Regular (Large) (32 fl oz cup),270,9,6,0,35,75,47,0,45,2,MCCAFE
Iced Coffee Regular (Medium) 22 fl oz cup,190,7,4.5,0,25,50,31,0,30,1,MCCAFE
Iced Coffee Regular (Small) (16 fl oz cup),140,4.5,3,0,15,35,23,0,22,1,MCCAFE
Premium Roast Iced Coffee (Large) 32 fl oz cup,270,9,6,0,35,75,47,0,45,2,MCCAFE
Premium Roast Iced Coffee (Medium) 22 fl oz cup,190,7,4.5,0,25,50,31,0,30,1,MCCAFE
Strawberry McCafé Shake (Medium) 16 fl oz,690,20,13,1,75,210,114,0,100,15,MCCAFE
Strawberry McCafé Shake (Large) 22 fl oz,850,24,15,1,90,260,140,0,123,18,MCCAFE
Vanilla McCafé Shake (Medium) 16 fl oz,660,19,12,1,75,200,109,0,81,14,MCCAFE
Vanilla McCafé Shake (Large) 22 fl oz,820,23,15,1,90,260,135,0,101,18,MCCAFE
Shamrock McCafe® Shake (Medium) 16 fl oz cup,660,19,12,1,75,210,109,0,93,14,MCCAFE
Shamrock McCafe® Shake (Large) 22 fl oz cup,820,23,15,1,90,260,135,0,115,18,MCCAFE
McCafé Hot Chocolate (Large) 20 fl oz cup,540,20,12,0.5,60,280,73,1,68,17,MCCAFE
Iced Mocha (Large) 22 fl oz cup,480,16,9,0.5,50,220,69,2,61,13,MCCAFE
Iced Mocha (Small) 12 fl oz cup,290,11,6,0,35,125,40,1,34,8,MCCAFE
Iced Mocha with Nonfat Milk (Large) 22 fl oz cup,380,5,3,0,20,220,70,2,62,14,MCCAFE
Iced Mocha with Nonfat Milk (Small) 12 fl oz cup,240,4.5,3,0,20,125,40,1,34,8,MCCAFE
McCafé Iced Mocha (Large) 22 fl oz cup,480,16,9,0.5,50,220,69,2,61,13,MCCAFE
McCafé Iced Mocha (Medium) 16 fl oz cup,340,12,7,0,40,150,49,1,43,9,MCCAFE
McCafé Iced Caramel Mocha (Medium) 16 fl oz cup,330,12,7,0,40,170,46,1,41,9,MCCAFE
McCafé Iced Caramel Mocha (Large) 22 fl oz cup,450,16,9,0.5,50,250,64,1,58,13,MCCAFE
Mocha (Small) 12 fl oz cup,340,11,7,0,35,150,49,2,42,10,MCCAFE
Mocha (Medium) 16 fl oz cup,410,14,8,0,40,190,60,2,53,13,MCCAFE
Mocha (Large) 20 fl oz cup,500,17,10,0.5,50,240,72,2,63,16,MCCAFE
Mocha with Nonfat Milk (Small) 12 fl oz cup,270,3.5,2,0,15,150,49,2,43,11,MCCAFE
Mocha with Nonfat Milk (Medium) 16 fl oz cup,330,3.5,2,0,15,190,60,2,53,13,MCCAFE
Mocha with Nonfat Milk (Large) 20 fl oz cup,390,4,2.5,0,20,240,73,2,64,17,MCCAFE
Caramel Mocha (Small) 12 fl oz cup,320,11,7,0,35,170,45,1,40,10,MCCAFE
Caramel Mocha (Medium) 16 fl oz cup,390,14,8,0,40,220,55,1,50,12,MCCAFE
Caramel Mocha (Large) 20 fl oz cup,480,17,10,0.5,50,270,66,1,60,16,MCCAFE
Nonfat Caramel Mocha (Small) 12 fl oz cup,250,3.5,2,0,15,170,45,1,41,10,MCCAFE
Nonfat Caramel Mocha (Medium) 16 fl oz cup,310,3.5,2,0,15,210,56,1,51,13,MCCAFE
Nonfat Caramel Mocha (Large) 20 fl oz cup,370,3.5,2.5,0,20,270,67,1,61,17,MCCAFE
Latte (Small) 12 fl oz cup,170,9,5,0,25,115,15,1,12,9,MCCAFE
McCafé Mocha (Large) 20 fl oz cup,500,17,10,0.5,50,240,72,2,63,16,MCCAFE
McCafé Mocha (Medium) 16 fl oz cup,410,14,8,0,40,190,60,2,53,13,MCCAFE
Latte (Medium) 16 fl oz cup,210,10,6,0,30,140,18,1,15,11,MCCAFE
Latte (Large) 20 fl oz cup,280,14,8,0,40,180,24,1,20,15,MCCAFE
Caramel Latte (Large) 20 fl oz cup,430,14,8,0,40,180,62,1,59,15,MCCAFE
Caramel Latte (Medium) 16 fl oz cup,340,10,6,0,30,140,50,1,48,11,MCCAFE
Caramel Latte (Small) 12 fl oz cup,270,9,5,0,25,115,40,1,38,9,MCCAFE
Hazelnut Latte (Small) 12 fl oz cup,270,9,5,0,25,115,40,1,38,9,MCCAFE
Hazelnut Latte (Medium) 16 fl oz cup,330,10,6,0,30,140,50,1,47,11,MCCAFE
Hazelnut Latte (Large) 20 fl oz cup,430,14,8,0,40,180,62,1,58,15,MCCAFE
French Vanilla Latte (Small) 12 fl oz cup,260,9,5,0,25,115,38,1,36,9,MCCAFE
French Vanilla Latte (Medium) 16 fl oz cup,330,10,6,0,30,140,48,1,45,11,MCCAFE
French Vanilla Latte (Large) 20 fl oz cup,420,14,8,0,40,190,60,1,56,15,MCCAFE
Latte with Sugar Free French Vanilla Syrup (Small) 12 fl oz cup,210,9,5,0,25,150,24,1,12,9,MCCAFE
Latte with Sugar Free French Vanilla Syrup (Medium) 16 fl oz cup,260,10,6,0,30,190,29,1,15,12,MCCAFE
Latte with Sugar Free French Vanilla Syrup (Large) 20 fl oz cup,330,14,8,0,40,240,37,2,20,15,MCCAFE
Nonfat Latte (Small) 12 fl oz cup,100,0,0,0,5,110,15,1,13,10,MCCAFE
White Hot Chocolate (Small) 13.3 oz (376 g),350,13,8,0,40,180,48,0,46,12,MCCAFE
White Hot Chocolate (Medium) 16.3 oz (463 g),420,15,9,0.5,50,230,59,0,57,14,MCCAFE
White Hot Chocolate (Large) 20.8 oz (589 g),520,19,11,0.5,60,290,71,0,69,18,MCCAFE
Nonfat White Hot Chocolate (Small) 13.3 oz (376 g),260,3,2,0,15,180,48,0,46,12,MCCAFE
Nonfat White Hot Chocolate (Medium) 16.4 oz (464 g),320,3,2,0,20,220,59,0,58,15,MCCAFE
Nonfat White Hot Chocolate (Large) 20.8 oz (590 g),380,3,2,0,20,280,72,0,70,19,MCCAFE
McCafé White Hot Chocolate (Small) 13.3 oz (376 g),350,13,8,0,40,180,48,0,46,12,MCCAFE
McCafé White Hot Chocolate (Medium) 16.3 oz (463 g),420,15,9,0.5,50,230,59,0,57,14,MCCAFE
McCafé White Hot Chocolate (Large) 20.8 oz (589 g),520,19,11,0.5,60,290,71,0,69,18,MCCAFE
Baked Hot Apple Pie 2.7 oz (77 g),250,13,7,0,0,170,32,4,13,2,DESSERTSHAKE
Chocolate Chip Cookie 1 cookie (33 g),160,8,3.5,0,10,90,21,1,15,2,DESSERTSHAKE
Oatmeal Raisin Cookie 1 cookie (33 g),150,6,2.5,0,10,135,22,1,13,2,DESSERTSHAKE
Fruit 'n Yogurt Parfait 5.2 oz (149 g),150,2,1,0,5,80,30,1,23,4,DESSERTSHAKE
Chocolate McCafé Shake (Medium) 16 fl oz,700,20,12,1,75,300,114,2,97,15,DESSERTSHAKE
Chocolate McCafé Shake (Large) 22 fl oz,850,23,15,1,85,380,141,2,120,19,DESSERTSHAKE
Vanilla Reduced Fat Ice Cream Cone 3.7 oz (105 g),170,4.5,3,0,15,70,27,0,20,5,DESSERTSHAKE
Kiddie Cone 1 oz (29 g),45,1.5,1,0,5,20,7,0,6,1,DESSERTSHAKE
Hot Fudge Sundae 6.3 oz (179 g),330,9,7,0,25,170,53,1,48,8,DESSERTSHAKE
Hot Caramel Sundae 6.4 oz (182 g),340,8,5,0,30,150,60,0,43,7,DESSERTSHAKE
Strawberry Sundae 6.3 oz (178 g),280,6,4,0,25,85,49,0,45,6,DESSERTSHAKE
McFlurry® with M&M'S® Chocolate Candies (12 fl oz cup) 12 fl oz cup (310 g),650,23,14,0.5,50,180,96,1,89,13,DESSERTSHAKE
McFlurry® with OREO® Cookies (12 fl oz cup) 10.1 oz (285 g),510,17,9,0.5,45,280,80,1,64,12,DESSERTSHAKE
Chocolate McCafé Shake (Small) 12 fl oz,560,16,10,1,60,240,91,1,77,12,DESSERTSHAKE
Vanilla McCafé Shake (Small) 12 fl oz,530,15,10,1,60,160,86,0,63,11,DESSERTSHAKE
Strawberry McCafé Shake (Small) 12 fl oz,550,16,10,1,60,160,90,0,79,12,DESSERTSHAKE
STRAWBERRY & CRÈME PIE 3.03 oz (86 g),310,17,9,0,10,180,36,1,15,4,DESSERTSHAKE
Shamrock McCafe® Shake (Small) 12 fl oz cup,530,15,10,1,60,160,86,0,73,11,DESSERTSHAKE
Snack Size McFlurry® with M&M'S® Chocolate Candies 7.3 oz (207 g),430,15,10,0,35,120,64,1,59,9,DESSERTSHAKE
Snack Size McFlurry® with OREO® Cookies 6.7 oz (190 g),340,11,6,0,30,190,53,1,43,8,DESSERTSHAKE
Strawberry McCafé Shake (Medium) 16 fl oz,690,20,13,1,75,210,114,0,100,15,DESSERTSHAKE
Strawberry McCafé Shake (Large) 22 fl oz,850,24,15,1,90,260,140,0,123,18,DESSERTSHAKE
Vanilla McCafé Shake (Medium) 16 fl oz,660,19,12,1,75,200,109,0,81,14,DESSERTSHAKE
Vanilla McCafé Shake (Large) 22 fl oz,820,23,15,1,90,260,135,0,101,18,DESSERTSHAKE
Shamrock McCafe® Shake (Medium) 16 fl oz cup,660,19,12,1,75,210,109,0,93,14,DESSERTSHAKE
Shamrock McCafe® Shake (Large) 22 fl oz cup,820,23,15,1,90,260,135,0,115,18,DESSERTSHAKE
Fried Cherry Pie 2.9 oz (81 g),230,10,3.5,0,0,135,33,1,15,2,DESSERTSHAKE
Grape Jam 0.5 oz (14 g),35,0,0,0,0,0,9,0,9,0,CONDIMENT
Coffee Cream 0.4 fl oz (11 ml),20,2,1.5,0,10,15,0,0,0,0,CONDIMENT
Strawberry Preserves 0.5 oz (14 g),35,0,0,0,0,0,9,0,9,0,CONDIMENT
Sugar Packet 1 pkg (4 g),15,0,0,0,0,0,4,0,4,0,CONDIMENT
EQUAL® ZERO Calorie Sweetener 1 pkg (1 g),0,0,0,0,0,0,1,0,1,0,CONDIMENT
SPLENDA® No Calorie Sweetener 1 pkg (1 g),0,0,0,0,0,0,1,0,1,0,CONDIMENT
Hot Habanero Sauce 22 oz (0 g),80,7,1,0,10,180,5,1,2,1,CONDIMENT
Ketchup Packet 1 pkg (9 g),10,0,0,0,0,90,2,0,2,0,CONDIMENT
Creamy Ranch Sauce 0.8 oz (22 g),110,12,2,0,5,170,1,0,1,0,CONDIMENT
Newman's Own® Low Fat Sesame Ginger Dressing 1.5 fl oz (44 ml),90,2.5,0,0,0,410,15,1,9,1,CONDIMENT
Spicy Buffalo Sauce 0.8 oz (22 g),35,3,0,0,0,540,1,0,0,0,CONDIMENT
Newman's Own® Low Fat Balsamic Vinaigrette 1.5 fl oz (44 ml),35,1.5,0,0,0,400,5,0,3,0,CONDIMENT
Newman's Own® Creamy Southwest Dressing 1.5 fl oz (44 ml),120,8,1.5,0,20,300,11,0,3,1,CONDIMENT
Newman's Own® Low Fat Family Recipe Italian Dressing 1.5 fl oz (44 ml),50,1.5,0,0,0,380,8,1,2,0,CONDIMENT
Salt Packet 1 pkg (0 g),0,0,0,0,0,270,0,0,0,0,CONDIMENT
Honey 1 pkg (14 g),50,0,0,0,0,0,12,0,11,0,CONDIMENT
Newman's Own® Ranch Dressing 2 fl oz (59 ml),200,17,2.5,0,20,530,11,1,4,1,CONDIMENT
Sweet 'N Sour Sauce 1 pkg (28 g),50,0,0,0,0,150,12,0,10,0,CONDIMENT
Hotcake Syrup 1 pkg (60 g),180,0,0,0,0,20,45,0,32,0,CONDIMENT
Peanuts (for Sundaes) 0.3 oz (7 g),45,3.5,0.5,0,0,0,2,1,0,2,CONDIMENT
Honey Mustard Sauce 0.8 oz (22 g),60,4,0.5,0,5,115,6,1,5,0,CONDIMENT
Tangy Barbeque Sauce 1 pkg (28 g),50,0,0,0,0,260,12,0,10,0,CONDIMENT
Buffalo Ranch McChicken 5.2 oz (148 g),370,17,3.5,0,40,850,41,2,5,14,CONDIMENT
Premium McWrap Southwest Chicken (Grilled) 11.6 oz (328 g),530,20,6,0.5,100,1470,54,5,10,34,CONDIMENT
Whipped Margarine (1 pat) 1 pkg (6 g),40,4.5,1.5,0,0,55,0,0,0,0,CONDIMENT
Tartar Sauce Cup 1 oz (28 g),140,15,2.5,0,10,150,0,0,0,0,CONDIMENT
